id,domain,sentence,label,relations
1,Sociology,natural selection and society are closely related ideas in Sociology.,relation,"[('selection', 'relate', 'Sociology')]"
2,Sociology,The concept of calculus is fundamental to communication in Sociology.,concept,[]
3,Computer Science,"In the field of Computer Science, artificial intelligence influences the study of DNA sequences.",definition,[]
4,Computer Science,"market equilibrium provides insights into decision making, a major theme in Computer Science.",definition,"[('equilibrium', 'provide', 'Science')]"
5,Linguistics,reactions is often modeled using statistical inference in Linguistics.,definition,"[('reactions', 'use', 'Linguistics')]"
6,Mathematics,social structure and reactions are closely related ideas in Mathematics.,relation,"[('structure', 'relate', 'Mathematics')]"
7,Economics,"economic growth provides insights into markets, a major theme in Economics.",definition,"[('growth', 'provide', 'Economics')]"
8,Linguistics,market equilibrium forms the basis for understanding markets within Linguistics.,concept,"[('equilibrium', 'understand', 'Linguistics')]"
9,Psychology,thermodynamics and computation are closely related ideas in Psychology.,relation,"[('thermodynamics', 'relate', 'Psychology')]"
10,Economics,economic growth in Economics helps explain how grammar occurs.,definition,"[('grammar', 'occur', 'Economics')]"
11,Sociology,Sociology researchers study thermodynamics to explore grammar.,definition,"[('researchers', 'explore', 'grammar')]"
12,Sociology,energy conservation and communication are closely related ideas in Sociology.,fact,"[('conservation', 'relate', 'Sociology')]"
13,Sociology,reactions is often modeled using syntax analysis in Sociology.,definition,"[('reactions', 'use', 'Sociology')]"
14,Sociology,molecular biology forms the basis for understanding computation within Sociology.,concept,"[('biology', 'understand', 'Sociology')]"
15,Sociology,economic growth in Sociology helps explain how patterns occurs.,definition,"[('patterns', 'occur', 'Sociology')]"
16,Physics,chemical bonding forms the basis for understanding communication within Physics.,relation,"[('bonding', 'understand', 'Physics')]"
17,Psychology,Psychology uses market equilibrium to describe data patterns.,concept,"[('Psychology', 'describe', 'patterns')]"
18,Computer Science,The concept of ecosystem balance is fundamental to grammar in Computer Science.,definition,"[('concept', 'grammar', 'Science')]"
19,Mathematics,"In Mathematics, social structure plays a key role in understanding data patterns.",definition,"[('structure', 'understand', 'patterns')]"
20,Sociology,"quantum mechanics provides insights into computation, a major theme in Sociology.",fact,"[('mechanics', 'provide', 'Sociology')]"
21,Chemistry,Chemistry researchers study climate modeling to explore patterns.,concept,"[('researchers', 'explore', 'patterns')]"
22,Psychology,"In Psychology, language acquisition plays a key role in understanding entropy.",fact,"[('acquisition', 'understand', 'entropy')]"
23,Linguistics,market equilibrium in Linguistics helps explain how data patterns occurs.,definition,"[('patterns', 'occur', 'Linguistics')]"
24,Sociology,"In the field of Sociology, chemical bonding influences the study of patterns.",definition,[]
25,Linguistics,natural selection and trade are closely related ideas in Linguistics.,relation,"[('selection', 'relate', 'Linguistics')]"
26,Linguistics,syntax analysis and markets are closely related ideas in Linguistics.,definition,"[('analysis', 'relate', 'Linguistics')]"
27,Physics,"In Physics, energy conservation plays a key role in understanding DNA sequences.",concept,"[('conservation', 'understand', 'sequences')]"
28,Environmental Science,Environmental Science researchers study thermodynamics to explore DNA sequences.,definition,"[('researchers', 'explore', 'sequences')]"
29,Economics,artificial intelligence and data patterns are closely related ideas in Economics.,definition,"[('patterns', 'relate', 'Economics')]"
30,Physics,"In the field of Physics, data mining influences the study of patterns.",fact,[]
31,Biology,"cognitive behavior provides insights into learning, a major theme in Biology.",definition,"[('behavior', 'provide', 'Biology')]"
32,Economics,"In Economics, neural networks plays a key role in understanding cells.",definition,"[('networks', 'understand', 'cells')]"
33,Biology,genetic mutation forms the basis for understanding trade within Biology.,relation,"[('mutation', 'understand', 'Biology')]"
34,Biology,decision making is often modeled using climate modeling in Biology.,concept,"[('making', 'use', 'Biology')]"
35,Economics,Economics uses economic growth to describe DNA sequences.,fact,"[('Economics', 'describe', 'sequences')]"
36,Mathematics,The concept of calculus is fundamental to society in Mathematics.,fact,[]
37,Sociology,market equilibrium and patterns are closely related ideas in Sociology.,definition,"[('equilibrium', 'relate', 'Sociology')]"
38,Psychology,Psychology uses data mining to describe markets.,relation,"[('Psychology', 'describe', 'markets')]"
39,Physics,cognitive behavior forms the basis for understanding optimization within Physics.,relation,"[('behavior', 'understand', 'Physics')]"
40,Physics,artificial intelligence forms the basis for understanding communication within Physics.,definition,"[('intelligence', 'understand', 'Physics')]"
41,Physics,"market equilibrium provides insights into grammar, a major theme in Physics.",fact,"[('equilibrium', 'provide', 'Physics')]"
42,Psychology,"In the field of Psychology, molecular biology influences the study of entropy.",relation,"[('biology', 'influence', 'entropy')]"
43,Sociology,The concept of data mining is fundamental to pollution in Sociology.,fact,[]
44,Linguistics,molecular biology in Linguistics helps explain how entropy occurs.,relation,"[('entropy', 'occur', 'Linguistics')]"
45,Economics,chemical bonding and motion are closely related ideas in Economics.,relation,"[('bonding', 'relate', 'Economics')]"
46,Linguistics,economic growth forms the basis for understanding DNA sequences within Linguistics.,relation,"[('growth', 'understand', 'Linguistics')]"
47,Linguistics,"molecular biology provides insights into pollution, a major theme in Linguistics.",concept,"[('biology', 'provide', 'Linguistics')]"
48,Biology,Biology uses social structure to describe entropy.,definition,"[('Biology', 'describe', 'entropy')]"
49,Environmental Science,Environmental Science uses calculus to describe society.,fact,"[('Science', 'describe', 'society')]"
50,Chemistry,quantum mechanics and trade are closely related ideas in Chemistry.,concept,"[('mechanics', 'relate', 'Chemistry')]"
51,Environmental Science,data mining and data patterns are closely related ideas in Environmental Science.,fact,"[('patterns', 'relate', 'Science')]"
52,Linguistics,Linguistics uses chemical bonding to describe pollution.,concept,"[('Linguistics', 'describe', 'pollution')]"
