id,domain,sentence,label
1,Sociology,natural selection and society are closely related ideas in Sociology.,relation
2,Sociology,The concept of calculus is fundamental to communication in Sociology.,concept
3,Computer Science,"In the field of Computer Science, artificial intelligence influences the study of DNA sequences.",definition
4,Computer Science,"market equilibrium provides insights into decision making, a major theme in Computer Science.",definition
5,Linguistics,reactions is often modeled using statistical inference in Linguistics.,definition
6,Mathematics,social structure and reactions are closely related ideas in Mathematics.,relation
7,Economics,"economic growth provides insights into markets, a major theme in Economics.",definition
8,Linguistics,market equilibrium forms the basis for understanding markets within Linguistics.,concept
9,Psychology,thermodynamics and computation are closely related ideas in Psychology.,relation
10,Economics,economic growth in Economics helps explain how grammar occurs.,definition
11,Sociology,Sociology researchers study thermodynamics to explore grammar.,definition
12,Sociology,energy conservation and communication are closely related ideas in Sociology.,fact
13,Sociology,reactions is often modeled using syntax analysis in Sociology.,definition
14,Sociology,molecular biology forms the basis for understanding computation within Sociology.,concept
15,Sociology,economic growth in Sociology helps explain how patterns occurs.,definition
16,Physics,chemical bonding forms the basis for understanding communication within Physics.,relation
17,Psychology,Psychology uses market equilibrium to describe data patterns.,concept
18,Computer Science,The concept of ecosystem balance is fundamental to grammar in Computer Science.,definition
19,Mathematics,"In Mathematics, social structure plays a key role in understanding data patterns.",definition
20,Sociology,"quantum mechanics provides insights into computation, a major theme in Sociology.",fact
21,Chemistry,Chemistry researchers study climate modeling to explore patterns.,concept
22,Psychology,"In Psychology, language acquisition plays a key role in understanding entropy.",fact
23,Linguistics,market equilibrium in Linguistics helps explain how data patterns occurs.,definition
24,Sociology,"In the field of Sociology, chemical bonding influences the study of patterns.",definition
25,Linguistics,natural selection and trade are closely related ideas in Linguistics.,relation
26,Linguistics,syntax analysis and markets are closely related ideas in Linguistics.,definition
27,Physics,"In Physics, energy conservation plays a key role in understanding DNA sequences.",concept
28,Environmental Science,Environmental Science researchers study thermodynamics to explore DNA sequences.,definition
29,Economics,artificial intelligence and data patterns are closely related ideas in Economics.,definition
30,Physics,"In the field of Physics, data mining influences the study of patterns.",fact
31,Biology,"cognitive behavior provides insights into learning, a major theme in Biology.",definition
32,Economics,"In Economics, neural networks plays a key role in understanding cells.",definition
33,Biology,genetic mutation forms the basis for understanding trade within Biology.,relation
34,Biology,decision making is often modeled using climate modeling in Biology.,concept
35,Economics,Economics uses economic growth to describe DNA sequences.,fact
36,Mathematics,The concept of calculus is fundamental to society in Mathematics.,fact
37,Sociology,market equilibrium and patterns are closely related ideas in Sociology.,definition
38,Psychology,Psychology uses data mining to describe markets.,relation
39,Physics,cognitive behavior forms the basis for understanding optimization within Physics.,relation
40,Physics,artificial intelligence forms the basis for understanding communication within Physics.,definition
41,Physics,"market equilibrium provides insights into grammar, a major theme in Physics.",fact
42,Psychology,"In the field of Psychology, molecular biology influences the study of entropy.",relation
43,Sociology,The concept of data mining is fundamental to pollution in Sociology.,fact
44,Linguistics,molecular biology in Linguistics helps explain how entropy occurs.,relation
45,Economics,chemical bonding and motion are closely related ideas in Economics.,relation
46,Linguistics,economic growth forms the basis for understanding DNA sequences within Linguistics.,relation
47,Linguistics,"molecular biology provides insights into pollution, a major theme in Linguistics.",concept
48,Biology,Biology uses social structure to describe entropy.,definition
49,Environmental Science,Environmental Science uses calculus to describe society.,fact
50,Chemistry,quantum mechanics and trade are closely related ideas in Chemistry.,concept
51,Environmental Science,data mining and data patterns are closely related ideas in Environmental Science.,fact
52,Linguistics,Linguistics uses chemical bonding to describe pollution.,concept
53,Sociology,market equilibrium forms the basis for understanding society within Sociology.,definition
54,Physics,Physics uses genetic mutation to describe entropy.,concept
55,Economics,Economics uses social structure to describe cells.,concept
56,Environmental Science,"In Environmental Science, climate modeling plays a key role in understanding computation.",fact
57,Mathematics,"In Mathematics, neural networks plays a key role in understanding DNA sequences.",fact
58,Computer Science,The concept of artificial intelligence is fundamental to learning in Computer Science.,relation
59,Biology,patterns is often modeled using syntax analysis in Biology.,fact
60,Computer Science,The concept of natural selection is fundamental to cells in Computer Science.,fact
61,Environmental Science,"In Environmental Science, ecosystem balance plays a key role in understanding computation.",concept
62,Economics,Economics uses statistical inference to describe learning.,fact
63,Linguistics,Linguistics uses chemical bonding to describe evolution.,fact
64,Biology,"In the field of Biology, genetic mutation influences the study of evolution.",fact
65,Biology,Biology uses syntax analysis to describe entropy.,concept
66,Sociology,The concept of data mining is fundamental to DNA sequences in Sociology.,relation
67,Physics,language acquisition and trade are closely related ideas in Physics.,definition
68,Biology,"statistical inference provides insights into DNA sequences, a major theme in Biology.",concept
