subject,relation,object
selection,relate,Sociology
equilibrium,provide,Science
reactions,use,Linguistics
structure,relate,Mathematics
growth,provide,Economics
equilibrium,understand,Linguistics
thermodynamics,relate,Psychology
grammar,occur,Economics
researchers,explore,grammar
conservation,relate,Sociology
reactions,use,Sociology
biology,understand,Sociology
patterns,occur,Sociology
bonding,understand,Physics
Psychology,describe,patterns
concept,grammar,Science
structure,understand,patterns
mechanics,provide,Sociology
researchers,explore,patterns
acquisition,understand,entropy
patterns,occur,Linguistics
selection,relate,Linguistics
analysis,relate,Linguistics
conservation,understand,sequences
researchers,explore,sequences
patterns,relate,Economics
behavior,provide,Biology
networks,understand,cells
mutation,understand,Biology
making,use,Biology
Economics,describe,sequences
equilibrium,relate,Sociology
Psychology,describe,markets
behavior,understand,Physics
intelligence,understand,Physics
equilibrium,provide,Physics
biology,influence,entropy
entropy,occur,Linguistics
bonding,relate,Economics
growth,understand,Linguistics
biology,provide,Linguistics
Biology,describe,entropy
Science,describe,society
mechanics,relate,Chemistry
patterns,relate,Science
Linguistics,describe,pollution
equilibrium,understand,Sociology
Physics,describe,entropy
Economics,describe,cells
modeling,understand,computation
networks,understand,sequences
concept,learn,Science
patterns,use,Biology
balance,understand,computation
Economics,describe,learning
Linguistics,describe,evolution
mutation,influence,evolution
Biology,describe,entropy
acquisition,relate,Physics
inference,provide,Biology
trade,occur,Psychology
Economics,describe,reactions
conservation,understand,Psychology
learning,occur,Mathematics
patterns,use,Mathematics
mutation,relate,Chemistry
bonding,understand,Psychology
biology,influence,optimization
evolution,use,Sociology
calculus,understand,particles
biology,relate,Linguistics
behavior,learn,learning
modeling,relate,Mathematics
motion,use,Linguistics
calculus,understand,Chemistry
learning,occur,Sociology
mechanics,provide,Linguistics
behavior,understand,Physics
behavior,understand,Linguistics
markets,occur,Chemistry
society,use,Economics
Sociology,describe,evolution
selection,provide,Physics
Biology,describe,learning
analysis,influence,cells
researchers,explore,computation
equilibrium,understand,society
analysis,relate,Physics
growth,influence,making
thermodynamics,understand,Science
acquisition,understand,Economics
pollution,use,Science
researchers,explore,reactions
making,occur,Economics
cells,use,Science
intelligence,learn,learning
particles,occur,Economics
patterns,use,Biology
grammar,occur,Physics
researchers,explore,patterns
Linguistics,describe,sequences
sequences,use,Sociology
calculus,understand,making
Physics,describe,optimization
evolution,use,Linguistics
researchers,explore,motion
learning,occur,Linguistics
conservation,understand,cells
concept,grammar,Biology
analysis,influence,pollution
Linguistics,describe,trade
analysis,influence,evolution
growth,provide,Linguistics
conservation,understand,Economics
acquisition,understand,Linguistics
growth,relate,Science
researchers,explore,making
equilibrium,understand,trade
entropy,use,Mathematics
conservation,understand,Economics
bonding,relate,Science
growth,learn,learning
acquisition,understand,society
mutation,provide,Linguistics
analysis,provide,Psychology
concept,computation,Psychology
biology,understand,patterns
society,use,Science
analysis,provide,Mathematics
acquisition,understand,motion
learning,occur,Chemistry
optimization,use,Science
equilibrium,understand,environment
computation,occur,Physics
entropy,occur,Science
society,occur,Science
selection,relate,Psychology
Economics,describe,patterns
balance,provide,Sociology
selection,provide,Science
calculus,understand,Linguistics
researchers,explore,sequences
thermodynamics,influence,cells
equilibrium,understand,Chemistry
sequences,occur,Economics
patterns,use,Science
researchers,explore,society
biology,influence,sequences
understanding,learn,Physics
mechanics,understand,Physics
concept,entropy,Science
Science,describe,sequences
equilibrium,provide,Physics
inference,understand,Mathematics
reactions,occur,Science
behavior,relate,Economics
concept,grammar,Physics
equilibrium,understand,reactions
concept,grammar,Mathematics
calculus,provide,Chemistry
researchers,explore,sequences
mechanics,relate,Chemistry
patterns,occur,Linguistics
biology,understand,Sociology
cells,occur,Psychology
patterns,use,Science
concept,learn,Sociology
Biology,describe,patterns
researchers,explore,optimization
analysis,relate,Chemistry
bonding,understand,patterns
pollution,use,Chemistry
calculus,understand,Biology
equilibrium,relate,Science
concept,grammar,Science
patterns,use,Chemistry
bonding,understand,Science
inference,relate,Biology
Science,describe,reactions
Linguistics,describe,communication
analysis,understand,Mathematics
equilibrium,relate,Chemistry
balance,understand,Science
grammar,use,Sociology
concept,decision,Biology
Physics,describe,environment
optimization,occur,Psychology
Physics,describe,patterns
balance,provide,Sociology
Sociology,describe,evolution
researchers,explore,society
networks,understand,society
bonding,understand,sequences
intelligence,understand,pollution
selection,provide,Science
Economics,describe,computation
researchers,explore,cells
networks,understand,Mathematics
Chemistry,describe,patterns
mechanics,understand,Chemistry
mechanics,understand,Economics
Sociology,describe,optimization
behavior,provide,Sociology
conservation,understand,Chemistry
markets,occur,Psychology
mutation,understand,entropy
analysis,relate,Psychology
pollution,occur,Science
making,use,Sociology
acquisition,understand,Mathematics
biology,provide,Chemistry
learning,use,Science
behavior,relate,Science
learning,occur,Psychology
Science,describe,making
networks,relate,Science
particles,occur,Science
calculus,influence,communication
modeling,understand,society
intelligence,relate,Economics
growth,understand,Mathematics
markets,use,Chemistry
intelligence,understand,Biology
mutation,understand,patterns
concept,trade,Economics
researchers,explore,learning
analysis,understand,cells
reactions,use,Chemistry
analysis,relate,Psychology
Sociology,describe,pollution
entropy,occur,Biology
networks,understand,grammar
biology,provide,Linguistics
Linguistics,describe,learning
Science,describe,evolution
balance,understand,trade
inference,influence,society
researchers,explore,entropy
Psychology,describe,learning
growth,influence,patterns
Economics,describe,evolution
mutation,provide,Chemistry
mechanics,relate,Biology
Psychology,describe,optimization
entropy,occur,Sociology
bonding,relate,Chemistry
intelligence,understand,reactions
Mathematics,describe,motion
society,occur,Psychology
researchers,explore,motion
computation,use,Biology
calculus,understand,Biology
researchers,explore,trade
inference,understand,grammar
acquisition,understand,Science
selection,learn,learning
markets,occur,Science
mutation,understand,patterns
bonding,understand,Science
particles,use,Linguistics
concept,grammar,Sociology
calculus,understand,Sociology
conservation,influence,grammar
selection,relate,Sociology
Physics,describe,learning
mechanics,understand,patterns
conservation,relate,Biology
mechanics,relate,Science
evolution,use,Physics
selection,understand,society
acquisition,relate,Linguistics
researchers,explore,motion
reactions,use,Biology
biology,relate,Science
Psychology,describe,optimization
Chemistry,describe,entropy
computation,use,Economics
selection,relate,Linguistics
thermodynamics,understand,trade
balance,relate,Biology
equilibrium,understand,evolution
analysis,influence,patterns
mutation,understand,computation
Science,describe,communication
analysis,provide,Mathematics
researchers,explore,particles
reactions,occur,Mathematics
researchers,explore,optimization
researchers,explore,particles
Science,describe,communication
calculus,relate,Science
patterns,occur,Chemistry
markets,occur,Science
intelligence,understand,grammar
motion,occur,Science
